icd10,disease_bn,case_no,query_bn,query_en
R07.9,বুকে ব্যথা,2,ঘুম থেকে উঠে হঠাৎ বুকের বাম পাশে অস্বস্তি শুরু হলো,sudden discomfort in the left side of the chest after waking up
R07.9,বুকে ব্যথা,3,ঠান্ডা ঘাম দিয়ে বুকে একটা ভারী চাপ অনুভব করছি,a heavy pressure in the chest along with a cold sweat
R07.9,বুকে ব্যথা,4,শ্বাস নিতে গেলে বুকের ভেতর কিছু একটা চেপে ধরছে মনে হয়,something seems to be gripping inside the chest when trying to breathe
Z34.9,গর্ভাবস্থা,1,এই মাসে নিয়মিত সময়ে যা হওয়ার কথা ছিল তা হয়নি,what was supposed to happen regularly this month did not happen
Z34.9,গর্ভাবস্থা,2,সকালবেলা খাবারের গন্ধেই গা গুলিয়ে ওঠে,the smell of food alone makes me feel queasy in the morning
Z34.9,গর্ভাবস্থা,3,শরীরে একটা নতুন পরিবর্তন টের পাচ্ছি কয়েক সপ্তাহ ধরে,noticing a new change in the body for a few weeks
Z34.9,গর্ভাবস্থা,4,ডাক্তার দেখিয়ে নিশ্চিত হয়েছি নতুন অতিথি আসছে,confirmed with the doctor that a new guest is coming
K08.8,দাঁতে ব্যথা,1,ঠান্ডা কিছু মুখে দিলেই একটা দাঁতে শিরশির অনুভূতি হয়,putting anything cold in the mouth causes a tingling in one tooth
K08.8,দাঁতে ব্যথা,2,রাতে বালিশে মাথা রাখলেই একদিকের চোয়ালে চিনচিন ব্যথা,a dull ache on one side of the jaw when the head rests on the pillow
K08.8,দাঁতে ব্যথা,3,চিবানোর সময় একটা নির্দিষ্ট জায়গায় ব্যথা অনুভব করি,feel pain in one particular spot while chewing
K08.8,দাঁতে ব্যথা,4,মাড়ির একটা অংশ ফুলে গিয়ে স্পর্শ করলেই ব্যথা লাগে,part of the gum has swollen and hurts to the touch
